Район;Объект;Площадь проезжей части, тыс. м2;Площадь тротуара, тыс. м2;Всего, тыс. м2;Стоимость, тыс. руб.
"АДМИРАЛТЕЙСКИЙ";"Рижский пр. от Лермонтовского пр. до Старо-Петергофского пр.";"19,24";"1,7";"20,94";"20912,04"
"АДМИРАЛТЕЙСКИЙ";"Садовая ул. от  Вознесенского пр. до Никольского пер. включая съезд с Никольского моста";"5,5";"0";"5,5";"10567,68"
"АДМИРАЛТЕЙСКИЙ";"пересечение Садовой ул. и Лермонтовского пр.";"1,1";"0";"1,1";"2087,42"
"АДМИРАЛТЕЙСКИЙ";"ул. Союза Печатников от наб. Крюкова кан. до пл. Кулибина";"6,28";"5,2";"11,48";"15664,81"
"АДМИРАЛТЕЙСКИЙ";"Столярный пер. от Казанской ул. до наб. кан. Грибоедова";"2,36";"1,1";"3,46";"4292,18"
"АДМИРАЛТЕЙСКИЙ";"ул. Степана Разина от Рижского пр. до наб. Обводного кан.";"4,58";"2,63";"7,21";"7793,53"
"АДМИРАЛТЕЙСКИЙ";"пересечение наб. р. Фонтанки и Старо-Петергофского пр. (четная сторона)";"2,2";"0,03";"2,23";"2819,68"
"ВАСИЛЕОСТРОВСКИЙ";"Большой пр. от 1-й  линии до Наличной ул.";"93,26";"39,46";"132,72";"206233,42"
"ВАСИЛЕОСТРОВСКИЙ";"ул. Кораблестроителей от Прибалтийской пл. до Новосмоленской наб.";"41,1";"11,18";"52,28";"90490,29"
"ВАСИЛЕОСТРОВСКИЙ";"пл. Академика Сахарова между Менделеевской линией, Биржевой линией и Тифлисской ул.";"4,77";"1,7";"6,47";"9653,23"
"ВАСИЛЕОСТРОВСКИЙ";"Уральская ул. от наб.р. Смоленки до ул. Одоевского";"0";"2,27";"2,27";"2218,85"
"ВАСИЛЕОСТРОВСКИЙ";"ул. Шевченко от Среднего пр. до Шкиперского протока";"1,5";"0,92";"2,42";"3443,74"
"ВЫБОРГСКИЙ";"Б. Сампсониевский пр. от Сердобольской ул. до ул. Смолячкова (включая перекресток с Сердобольской ул.)";"45";"0";"45";"67891,96"
"ВЫБОРГСКИЙ";"Зеленков пер. от ул. Смолячкова до д. №9";"1,83";"0,44";"2,27";"2452,15"
"ВЫБОРГСКИЙ";"Выборгское шоссе и пр. Просвещения у д. №14 корп 4";"0";"1,1";"1,1";"4385,85"
"ВЫБОРГСКИЙ";"Кантемировская ул. от  Выборгской наб. до Полюстровского пр.";"0";"22,28";"22,28";"17684,11"
"ВЫБОРГСКИЙ";"ул. Карбышева от пл. Мужества до Политехнической ул.";"12,68";"6,82";"19,5";"24749,83"
"ВЫБОРГСКИЙ";"пересечение пр. Культуры и пр. Луначарского в зоне трамвайных путей";"0,25";"0";"0,25";"3660,48"
"ВЫБОРГСКИЙ";"пересечение пр. Энгельса и ул. Шостаковича";"0,27";"0";"0,27";"229,45"
"ВЫБОРГСКИЙ";"Политехническая ул. от 1-го Муринского пр. до ул. Гидротехников";"56,97";"19,89";"76,86";"121370,47"
"ВЫБОРГСКИЙ";"4-й Верхний пер. от Домостроительной ул. в направлении пр. Энгельса";"8,83";"0";"8,83";"12952,4"
"ВЫБОРГСКИЙ";"пересечение пр. Энгельса с Поклонногорской ул., пр. Тореза и Северным пр.";"6,14";"0";"6,14";"6839,16"
"ВЫБОРГСКИЙ";"Светлановская пл. на пересечении пр. Энгельса, 2-го Муринского пр. и пр. Испытателей";"2";"0";"2";"5172,08"
"ВЫБОРГСКИЙ";"пересечение пл. Мужества и 2-го Муринского пр.";"0,99";"0";"0,99";"2885,74"
"ВЫБОРГСКИЙ";"пересечение Выборгского шоссе и пр. Луначарского";"0,18";"0";"0,18";"3741,67"
"ВЫБОРГСКИЙ";"пересечение Выборгского шоссе и ул. Жени Егоровой";"0,14";"0";"0,14";"365,13"
"ВЫБОРГСКИЙ";"2-ой Муринский пр. у д. №11";"0,06";"0";"0,06";"45,82"
"ВЫБОРГСКИЙ";"пересечение пр. Культуры и Актерского проезда";"0,18";"0";"0,18";"446,15"
"КАЛИНИНСКИЙ";"Пересечение ул. Академика Лебедева и Боткинской ул.";"1,04";"0";"1,04";"2163,18"
"КАЛИНИНСКИЙ";"Ул. Брянцева от пр. Просвещения до Тимуровской ул.";"5,07";"2,33";"7,4";"8967,73"
"КАЛИНИНСКИЙ";"пр. Маршала Блюхера от Полюстровского пр. до Гражданского пр., пересечение с Полюстровским пр., Гражданским пр., Лабораторным пр. и Кондратьевским пр.";"24,38";"0";"24,38";"31815,83"
"КАЛИНИНСКИЙ";"пр. Мечникова от ул. Замшина до Пискаревского пр. остановка у д.2";"0";"0,24";"0,24";"566,11"
"КАЛИНИНСКИЙ";"Пр. Науки от Тихорецкого пр. до Гражданского пр. (покрытие в трампутях)";"13,1";"0";"13,1";"32628,26"
"КАЛИНИНСКИЙ";"Северная пл.";"5,85";"1,72";"7,57";"10337,72"
"КАЛИНИНСКИЙ";"Северный пр. от Тихорецкого пр. до ул.Руставели";"89,74";"13,7";"103,44";"161473,74"
"КИРОВСКИЙ";"пр. Ветеранов от ул. Лени Голикова до пр. Маршала Жукова";"67,93";"43,78";"111,71";"176377,09"
"КИРОВСКИЙ";"ул. Зайцева от пр. Стачек до ул. Возрождения";"27,18";"16,32";"43,5";"43411,66"
"КИРОВСКИЙ";"Пересечение Кронштадской ул. и Корабельной ул.";"2,72";"0,16";"2,88";"5346,49"
"КИРОВСКИЙ";"Ленинский пр. на участке от Троллейбусного проезда до Лиговского канала";"10,82";"2,25";"13,07";"15087,48"
"КИРОВСКИЙ";"пр. Маршала Жукова  боковой проезд под п/п "Автово" четная и нечетная сторона";"7,3";"0";"7,3";"10993,87"
"КИРОВСКИЙ";"Портовая ул. от пр. Стачек до пр. Маршала Жукова";"17,9";"6,4";"24,3";"30483,8"
"КИРОВСКИЙ";"пр. Стачек от Комсомольской пл. до Ленинского пр.";"2,25";"18,04";"20,29";"22449,06"
"КИРОВСКИЙ";"пр. Стачек у Кронштадтской пл. (на пересечении с Дачным пр. и Ленинским пр.)";"0,3";"0,06";"0,36";"415,97"
"КИРОВСКИЙ";"Броневая ул. от ул. Возрождения до станции "Броневая"";"11,96";"0";"11,96";"14640,04"
"КИРОВСКИЙ";"Пересечение ул. Подводника Кузьмина и бул. Новаторов";"3";"1,4";"4,4";"3712,08"
"КИРОВСКИЙ";"ул. Васи Алексеева от ул. Маршала Говорова до Автовской ул.";"8,02";"6,68";"14,7";"21939,5"
"КИРОВСКИЙ";"ул. Возрождения от пр. Стачек до Автовской ул.";"18,44";"9,2";"27,64";"33995,33"
"КОЛПИНСКИЙ";"ул. Братьев Радченко от Павловской ул. до Пролетарской ул. (г. Колпино)";"9,19";"1,9";"11,09";"12896,38"
"КОЛПИНСКИЙ";"ул. Анисимова (шумовые полосы)";"0";"0";"0";"31,22"
