Наименование остановки;Официальное наименование;Расположение;Широта;Долгота;Тип объекта;Маршруты
"УЛ. ТЕЛЬМАНА [140]<";"УЛ. ТЕЛЬМАНА";"Большевиков пр., Тельмана ул.";"59,89274417";"30,491188";"Остановка";"4,97,140"
"УЛ. ТЕЛЬМАНА,УГ. ДАЛЬНЕВОСТОЧНОГО ПР. [118]<";"УЛ. ТЕЛЬМАНА,УГ. ДАЛЬНЕВОСТОЧНОГО ПР.";"Тельмана ул., Дальневосточный пр.";"59,88997914";"30,4659729";"Остановка";"12,97,118"
"УЛ. ТИПАНОВА [72]<";"УЛ. ТИПАНОВА";"Витебский пр., Типанова ул.";"59,85526825";"30,3610172";"Остановка";"72"
"УЛ. ТИПАНОВА,21 [11, 31, 114]<";"УЛ. ТИПАНОВА,21";"Типанова ул., пр. Юрия Гагарина";"59,85256185";"30,3415413";"Остановка";"11,31,59,114,141"
"УЛ. ТОСИНА [3]<";"УЛ. ТОСИНА";"Лиговский пр., Тосина ул.";"59,90357592";"30,3410625";"Остановка";"3,26,64"
"УЛ. ТРЕФОЛЕВА [2, 66]<";"УЛ. ТРЕФОЛЕВА";"Стачек пр., Трефолева ул.";"59,89075351";"30,2723236";"Остановка";"1М,1МБ,2,66,73"
"УЛ. ТУРКУ [74, 116]<";"УЛ. ТУРКУ";"Пражская ул., Турку ул.";"59,86703459";"30,3972931";"Остановка";"57,76,116"
"УЛ. ТУХАЧЕВСКОГО [22]<";"УЛ. ТУХАЧЕВСКОГО";"Революции ш., Маршала Тухачевского ул.";"59,95994536";"30,4301834";"Остановка";"22,37,174,183"
"УЛ. УСТИНОВА,6 [115, 115, А]<";"УЛ. УСТИНОВА,6";"Дмитрия Устинова ул., Караваевская ул.";"59,83638403";"30,5005589";"Остановка";"3М,3МБ,51,115,115А,189,327"
"УЛ. УСТИНОВА,УГ. ШЛИССЕЛЬБУРГСКОГО ПР. [115, 115, А]<";"УЛ. УСТИНОВА,УГ. ШЛИССЕЛЬБУРГСКОГО ПР.";"Шлиссельбургский пр., Дмитрия Устинова ул.";"59,83907802";"30,498827";"Остановка";"3М,3МБ,51,115,115А,189,327"
"УЛ. УТОЧКИНА,УГ. ПР. КОРОЛЕВА";"УЛ. УТОЧКИНА,УГ. ПР. КОРОЛЕВА";"Уточкина ул., Королева пр.";"60,01260063";"30,263258";"Остановка";"134Б,170,182"
"УЛ. УШИНСКОГО,УГ. ТИМУРОВСКОЙ УЛ. [93]<";"УЛ. УШИНСКОГО,УГ. ТИМУРОВСКОЙ УЛ.";"Ушинского ул., Тимуровская ул.";"60,04147553";"30,4147263";"Остановка";"1М,1МА"
"УЛ. УШИНСКОГО,УГ. УЧИТЕЛЬСКОЙ УЛ. [102, 103, 153]<";"УЛ. УШИНСКОГО,УГ. УЧИТЕЛЬСКОЙ УЛ.";"Ушинского ул., Учительская ул.";"60,03107092";"30,4062538";"Остановка";"102,103"
"УЛ. ФАВОРСКОГО [178]<";"УЛ. ФАВОРСКОГО";"Бутлерова ул., Фаворского ул.";"60,00056481";"30,3955688";"Остановка";"178"
"УЛ. ФРУНЗЕ [3, 50]<";"УЛ. ФРУНЗЕ";"Московский пр., Победы ул.";"59,86122224";"30,3205242";"Остановка";"2М,2МА,3,26,50"
"УЛ. ФУЧИКА [12, 95]<";"УЛ. ФУЧИКА";"Белградская ул., Витебский пр.";"59,87167687";"30,3569946";"Остановка";"95"
"УЛ. ФУЧИКА ПО БЕЛГРАДСКОЙ УЛ.";"УЛ. ФУЧИКА ПО БЕЛГРАДСКОЙ УЛ.";"Белградская ул., Витебский пр.";"59,87167687";"30,3569946";"Остановка";"12,29,159"
"БУХАРЕСТСКАЯ УЛ.,УГ. УЛ. ФУЧИКА";"БУХАРЕСТСКАЯ УЛ.,УГ. УЛ. ФУЧИКА";"Бухарестская улица, улица Фучика";"59,87929719";"30,3721714";"Остановка";"5М,5МБ,29,54,57,59,74,76"
"УЛ. ФУЧИКА,УГ. БУДАПЕШТСКОЙ УЛ. [74]<";"УЛ. ФУЧИКА,УГ. БУДАПЕШТСКОЙ УЛ.";"Будапештская ул., Фучика ул.";"59,87489935";"30,3651257";"Остановка";"59,74"
"УЛ. ХАРЧЕНКО [33, 137]<";"УЛ. ХАРЧЕНКО";"Кантемировская ул., Харченко ул.";"59,98565482";"30,34972";"Остановка";"33,60,137,185"
"УЛ. ХО ШИ МИНА [86, 123]<";"УЛ. ХО ШИ МИНА";"Композиторов ул., Хошимина ул.";"60,05180527";"30,3161507";"Остановка";"80,86,123"
"УЛ. КОМПОЗИТОРОВ";"УЛ. ХО ШИ МИНА УГ. УЛ. КОМПОЗИТОРОВ";"Хошимина ул., Выборгское ш.";"60,05060843";"30,3129368";"Остановка";"433"
"УЛ. ЦИМБАЛИНА,56 [31, 95, 114, 116]<";"УЛ. ЦИМБАЛИНА,56";"Цимбалина ул., Кибальчича ул.";"59,88321122";"30,4158821";"Остановка";"31,95,114,116"
"УЛ. ЦИМБАЛИНА,УГ. УЛ. СЕДОВА [95]<";"УЛ. ЦИМБАЛИНА,УГ. УЛ. СЕДОВА";"Цимбалина ул., Седова ул.";"59,88407485";"30,4233131";"Остановка";"95"
"УЛ. ЦИОЛКОВСКОГО [70, 71, 65]<";"УЛ. ЦИОЛКОВСКОГО";"Обводного канала наб., ул. Циолковского";"59,90884323";"30,2879658";"Остановка";"65,67,67Б,70"
"УЛ. ЧАЙКОВСКОГО [136]<";"УЛ. ЧАЙКОВСКОГО";"Потемкинская ул., Чайковского ул.";"59,94586882";"30,367403";"Остановка";"136"
"УЛ. ЧАПАЕВА [49]<";"УЛ. ЧАПАЕВА";"Куйбышева ул., Чапаева ул.";"59,95738426";"30,3324566";"Остановка";"49"
"УЛ. ЧЕКИСТОВ [2, 165]<";"УЛ. ЧЕКИСТОВ";"ул. Партизана Германа, ул. Чекистов";"59,84192963";"30,1752682";"Остановка";"2,2А,87,162"
"УЛ. ЧЕРВОНОГО КАЗАЧЕСТВА [72]<";"УЛ. ЧЕРВОНОГО КАЗАЧЕСТВА";"Краснопутиловская ул., Червонного Казачества ул.";"59,86669856";"30,2767372";"Остановка";"72"
"УЛ. ЧЕРКАСОВА,УГ. КИРИШСКОЙ УЛ. [93]<";"УЛ. ЧЕРКАСОВА,УГ. КИРИШСКОЙ УЛ.";"Черкасова ул., Киришская ул.";"60,03031347";"30,4264603";"Остановка";"93,139"
"УЛ. ЧЕРКАСОВА,ШКОЛА [93]<";"УЛ. ЧЕРКАСОВА,ШКОЛА";"Черкасова ул.";"60,02672389";"30,4229202";"Остановка";"93,139"
"УЛ. ЧЕРНОВА [48]<";"УЛ. ЧЕРНОВА";"улица Бабушкина, улица Чернова";"59,86154117";"30,4665108";"Остановка";"5,48,53,97,115,115А,117"
"УЛ. ШАВРОВА";"УЛ. ШАВРОВА";"Комендантский пр., Шаврова ул.";"60,02489141";"30,2390957";"Остановка";"85,127"
"УЛ. ШЕЛГУНОВА [95, 118]<";"УЛ. ШЕЛГУНОВА";"Седова ул., Шелгунова ул.";"59,86327639";"30,4459782";"Остановка";"5,95,118,157"
"" МУЗЕЙ "НЕВСКАЯ ЗАСТАВА"";""МУЗЕЙ "НЕВСКАЯ ЗАСТАВА"";"Шелгунова ул., Ново-Александровская ул.";"59,86695915";"30,4608383";"Остановка";"3М,3МБ,11,48"
"УЛ. ШЕЛГУНОВА,УГ. УЛ. БАБУШКИНА";"УЛ. ШЕЛГУНОВА,УГ. УЛ. БАБУШКИНА";"Шелгунова ул., Бабушкина ул.";"59,86595106";"30,4534302";"Остановка";"3М,3МБ,11,48"
"УЛ. ШЕЛГУНОВА,УГОЛ ПР. ОБУХОВСКОЙ ОБОРОНЫ [48, 11]<";"УЛ. ШЕЛГУНОВА,УГОЛ ПР. ОБУХОВСКОЙ ОБОРОНЫ";"Обуховской обороны пр., Шелгунова ул.";"59,86761405";"30,4649963";"Остановка";"3М,3МБ,11,48"
"УЛ. ШИШКОВА [186]<";"УЛ. ШИШКОВА";"Генерала Хазова ул.";"59,73797471";"30,4051094";"Остановка";"186,377"
"УЛ. ШОСТАКОВИЧА [123, 143]<";"УЛ. ШОСТАКОВИЧА";"Симонова ул., Шостаковича ул.";"60,05970129";"30,3255825";"Остановка";"80,121,123,143,397"
"УЛ. ШОТМАНА [140]<";"УЛ. ШОТМАНА";"пр. Большевиков, ул. Шотмана";"59,90276075";"30,4867573";"Остановка";"4,97,140"
"УЛ. Я. ГАШЕКА ПО БУХАРЕСТСКОЙ УЛ. [56]<";"УЛ. Я. ГАШЕКА ПО БУХАРЕСТСКОЙ УЛ.";"Бухарестская ул., Ярослава Гашека ул.";"59,83772933";"30,4135036";"Остановка";"56,57"
"УЛ. Я. ГАШЕКА,УГ. БУДАПЕШТСКОЙ УЛ. [56]<";"УЛ. Я. ГАШЕКА,УГ. БУДАПЕШТСКОЙ УЛ.";"ул. Будапештская, ул. Ярослава Гашека";"59,83443461";"30,4007797";"Остановка";"56,96"
"УЛ. ЯКУБОВИЧА [70]<";"УЛ. ЯКУБОВИЧА";"Якубовича ул., Конногвардейский бул.";"59,93351444";"30,302599";"Остановка";"3М,7А,10А,24А,135А,191А"
"УЛ.ИЖОРСКОГО БАТАЛЬОНА,УГ.ОКТЯБРЬСКОЙ УЛ.";"УЛ.ИЖОРСКОГО БАТАЛЬОНА,УГ.ОКТЯБРЬСКОЙ УЛ.";"ул. Ижорского батальона, Октябрьская ул.";"59,73742052";"30,622139";"Остановка";"192,326,368,386"
"УЛ.РЕМИЗОВА, УГ. ТВЕРСКОЙ УЛ.";"УЛ.РЕМИЗОВА, УГ. ТВЕРСКОЙ УЛ.";"ул. Ремезова, ул. Тазаева";"59,74127897";"30,6088619";"Остановка";"326,54"
"УМАНСКИЙ ПЕР. [102, 103, 174]<";"УМАНСКИЙ ПЕР.";"Революции ш., Уманский пер.";"59,96062578";"30,4528942";"Остановка";"19,28,37,102,103,153,174"
"УНИВЕРСАМ [1]<";"УНИВЕРСАМ";"Наличная ул., Каховского пер.";"59,95124228";"30,2337265";"Остановка";"1"
"УНИВЕРСАМ [134]<";"УНИВЕРСАМ";"Уточкина ул., Маршала Новикова ул.";"60,0107742";"30,2630692";"Остановка";"134А,170,171,182"
""УНИВЕРСАМ "АЛЕКСАНДРОВСКИЙ" [12, 140]<"";""УНИВЕРСАМ "АЛЕКСАНДРОВСКИЙ"";"Коллонтай ул.";"59,92292521";"30,4846516";"Остановка";"12,118А,140,164"
""УНИВЕРСАМ "ГАВАНСКИЙ" [6]<"";""УНИВЕРСАМ "ГАВАНСКИЙ"";"Наличная ул., Каховского пер.";"59,95124228";"30,2337265";"Остановка";"3М,3МА,6,41,100,158"
""УНИВЕРСАМ "НЕВСКИЙ" [140]<"";""УНИВЕРСАМ "НЕВСКИЙ"";"Большевиков пр.";"59,91554088";"30,4741325";"Остановка";"4М,4МА,140,161,164,191,191А"
"УНИВЕРСАМ № 59 [127, 85]<";"УНИВЕРСАМ № 59";"Комендантский пр.";"60,02114425";"30,2434978";"Остановка";"85,127"
"УНИВЕРСИТЕТ [7, 24]<";"УНИВЕРСИТЕТ";"Университетская наб., Филологический пер.";"59,93975208";"30,3000889";"Остановка";"7,10А,24,135А,191А"
"УНИВЕРСИТЕТ КИНО И ТЕЛЕВИДЕНИЯ [74]<";"УНИВЕРСИТЕТ КИНО И ТЕЛЕВИДЕНИЯ";"Бухарестская ул., Козловский пер.";"59,88739207";"30,3632298";"Остановка";"5М,5МБ,54,57,74,76,91,117"
"УНИВЕРСИТЕТСКАЯ НАБ.,УГ. 1-Й И КАДЕТСКОЙ ЛИНИИ [7, 6]<";"УНИВЕРСИТЕТСКАЯ НАБ.,УГ. 1-Й И КАДЕТСКОЙ ЛИНИИ";"1-я и Кадетская линии, Румянцевская пл.";"59,93951258";"30,2930851";"Остановка";"3М,3МА,6,7,24,24А"
"УЧИТЕЛЬСКАЯ УЛ. [69, 98]<";"УЧИТЕЛЬСКАЯ УЛ.";"Демьяна Бедного ул., Учительская ул.";"60,03629069";"30,3810978";"Остановка";"69"
"УЧИТЕЛЬСКАЯ УЛ. [40]<";"УЧИТЕЛЬСКАЯ УЛ.";"Ушинского ул., Учительская ул.";"60,0318727";"30,4071445";"Остановка";"40"
"УЧИТЕЛЬСКАЯ УЛ. УГ. СВЕТЛАНОВСКОГО ПР. [102, 103, 153]<";"УЧИТЕЛЬСКАЯ УЛ. УГ. СВЕТЛАНОВСКОГО ПР.";"Светлановский пр., Учительская ул.";"60,03437687";"30,394865";"Остановка";"98,102,103,153,176"
"ФАБРИЧНАЯ УЛ. [200, 210, 351, 356, 356Б, 359]<";"ФАБРИЧНАЯ УЛ.";"Санкт-Петербургское ш., Блан-Менильская ул.";"59,8826663";"29,8901882";"Остановка";"200,210,344,348,351,352,353,354,356,356Б,359,463,463А,489"
"ФЕОДОСИЙСКАЯ УЛ. [106, 133]<";"ФЕОДОСИЙСКАЯ УЛ.";"Полюстровский пр., Феодосийская ул.";"59,9656037";"30,3995361";"Остановка";"37,105,106,133"
"ФРОНТОВАЯ УЛ. [200, 210, 359]<";"ФРОНТОВАЯ УЛ.";"Санкт-Петербургское ш., Фронтовая ул.";"59,85248295";"30,0379677";"Остановка";"162,163,200,210,359"
"ХАЛТУРИНЕЦ [476]<";"ХАЛТУРИНЕЦ";"";"59,84129482";"30,5503922";"Остановка";"476"
"ХАСАНСКАЯ УЛ. УГ. ПР. НАСТАВНИКОВ [21]<";"ХАСАНСКАЯ УЛ. УГ. ПР. НАСТАВНИКОВ";"Наставников пр., ?Наставников пр.";"59,93639218";"30,4885445";"Остановка";"15,19,21,164,174"
"ХРУСТАЛЬНАЯ УЛ,14 [8]<";"ХРУСТАЛЬНАЯ УЛ,14";"Хрустальная ул., Фаянсовая ул.";"59,91179844";"30,4000015";"Остановка";"8"
"ЦВЕТОВОДЧЕСКИЙ ПИТОМНИК [200]<";"ЦВЕТОВОДЧЕСКИЙ ПИТОМНИК";"";"59,89795838";"29,8336754";"Остановка";"200,348,349"
"ЦВЕТОЧНАЯ УЛ. [3]<";"ЦВЕТОЧНАЯ УЛ.";"Лиговский пр., Цветочная ул.";"59,89440581";"30,3289566";"Остановка";"3,26,64"
"ЦВЕТОЧНЫЙ ПИТОМНИК [90]<";"ЦВЕТОЧНЫЙ ПИТОМНИК";"M20";"59,75219792";"30,3181095";"Остановка";"90,150,155"
"ЦЕРКОВНАЯ УЛ. [186]<";"ЦЕРКОВНАЯ УЛ.";"Ленинградская ул., Церковная ул.";"59,72872448";"30,411499";"Остановка";"186,371,376,377,381"
"ЧЕБЫШЕВСКАЯ УЛ. [356, 356А-шк, 356Б]<";"ЧЕБЫШЕВСКАЯ УЛ. [356, 356А-ШК, 356Б]";"Гостилицкое ш., Чебышевская ул.";"59,86789863";"29,8557339";"Остановка";"356,356Б"
"ЧЕБЫШЕВСКАЯ УЛ. Д.6 [356]<";"ЧЕБЫШЕВСКАЯ УЛ. Д.6";"";"59,86985638";"29,8580704";"Остановка";"356,356АШ,360"
"ЧЕРЕМЫКИНО [482, 482в, 487, 487, 487а]<";"ЧЕРЕМЫКИНО";"Таллинское ш.";"59,65054805";"29,6571865";"Остановка";"482,482В,487"
"ЧЕРНАЯ РЕЧКА,1 [435]<";"ЧЕРНАЯ РЕЧКА,1";"A-122";"60,17224559";"30,1755409";"Остановка";"435,497"
"ЧЕРНАЯ РЕЧКА,2 [435, 555]<";"ЧЕРНАЯ РЕЧКА,2";"A-122";"60,17431108";"30,1659927";"Остановка";"435,497,555"
"ЧЕРНАЯ РЕЧКА,ЦЕНТР [435, 555]<";"ЧЕРНАЯ РЕЧКА,ЦЕНТР";"A-122";"60,17593484";"30,158308";"Остановка";"435,497,555"
"ЧИРКОВИЦЫ [487, 487, 487а]<";"ЧИРКОВИЦЫ";"Таллинское ш.";"59,55659496";"29,1489048";"Остановка";"487"
"ЧИЧЕРИНСКАЯ УЛ. УГ. БОТАНИЧЕСКОЙ УЛ. [210, 359]<";"ЧИЧЕРИНСКАЯ УЛ. УГ. БОТАНИЧЕСКОЙ УЛ.";"ул. Чичеринская, Старо-Гостилицкое шоссе";"59,87247224";"29,8528748";"Остановка";"210,352,356,358,359"
"ЧУГУННАЯ УЛ. [33]<";"ЧУГУННАЯ УЛ.";"Полюстровский пр., Чугунная ул.";"59,97533857";"30,3741322";"Остановка";"33"
"ШЕПЕТОВСКАЯ УЛ. [132]<";"ШЕПЕТОВСКАЯ УЛ.";"Металлистов пр., Шепетовская ул.";"59,94720286";"30,4209995";"Остановка";"132"
"ШКИПЕРСКИЙ ПРОТОК [1, 6]<";"ШКИПЕРСКИЙ ПРОТОК";"Гаванская ул., Шкиперский Проток ул.";"59,93433227";"30,2390232";"Остановка";"1,3М,3МА,6"
"ШКОЛА [123]<";"ШКОЛА";"Сикейроса ул.";"60,03524339";"30,338253";"Остановка";"80,123"
"ШКОЛА";"ШКОЛА";"Морская улица, улица Жоры Антоненко";"59,90241139";"29,81703";"Остановка";"200,348,349,682,683,683А,684,686,687"
""МУЗЕЙ "ДВОРЦОВАЯ ТЕЛЕГРАФНАЯ СТАНЦИЯ"";""МУЗЕЙ "ДВОРЦОВАЯ ТЕЛЕГРАФНАЯ СТАНЦИЯ"";"Санкт-Петербургское ш.";"59,87720974";"29,9279633";"Остановка";"200,210,278,348,357А,359"
"ШКОЛЬНАЯ УЛ. [187]<";"ШКОЛЬНАЯ УЛ.";"Октябрьский бульвар, ул. Школьная";"59,72698224";"30,400919";"Остановка";"187"
"ШКОЛЬНАЯ УЛ. ПОЛИКЛИНИКА [186]<";"ШКОЛЬНАЯ УЛ. ПОЛИКЛИНИКА";"Школьная ул., Алексея Толстого бул.";"59,73244622";"30,4084148";"Остановка";"186,376,377,381"
"ШКОЛЬНАЯ УЛ. УГОЛ УЛ. ХАЗОВА [186]<";"ШКОЛЬНАЯ УЛ. УГОЛ УЛ. ХАЗОВА";"Генерала Хазова ул., Школьная ул.";"59,73811239";"30,4108887";"Остановка";"186,376,377,381"
"ШКОЛЬНАЯ, 51 [186]<";"ШКОЛЬНАЯ, 51";"Школьная ул., Алексея Толстого бул.";"59,73558924";"30,4122505";"Остановка";"186,377"
"ШЛИССЕЛЬБУРГСКИЙ ПР.,1 [115, 115, А]<";"ШЛИССЕЛЬБУРГСКИЙ ПР.,1";"Шлиссельбургский пр., ул. Караваевская";"59,84185414";"30,4890079";"Остановка";"3М,3МБ,51,115,115А,189,327"
"ШЛИССЕЛЬБУРГСКИЙ ПР.,43 [115, 115, А]<";"ШЛИССЕЛЬБУРГСКИЙ ПР.,43";"Шлиссельбургский проспект, улица Веры Фигнер";"59,8325194";"30,5193176";"Остановка";"115,115А,189,327"
"ШЛИССЕЛЬБУРГСКИЙ ПР.,УГ. ПРИБРЕЖНОЙ УЛ. [115, 115, А]<";"ШЛИССЕЛЬБУРГСКИЙ ПР.,УГ. ПРИБРЕЖНОЙ УЛ.";"Прибрежная ул., Шлиссельбургский пр.";"59,83548141";"30,5081806";"Остановка";"3М,3МБ,115,115А,189,327"
"ШЛИССЕЛЬбУРГСКИЙ ПР.,УНИВЕРСАМ [115, 115, А]<";"ШЛИССЕЛЬБУРГСКИЙ ПР.,УНИВЕРСАМ";"Шлиссельбургский пр., Рыбацкий пр.";"59,84027566";"30,4946709";"Остановка";"3М,3МБ,51,115,115А,189,327"
"ШЛИССЕЛЬБУРГСКИЙ ПР.,ШКОЛА [115, 115, А]<";"ШЛИССЕЛЬБУРГСКИЙ ПР.,ШКОЛА";"Шлиссельбургский пр., ул. Веры Фигнер";"59,83411198";"30,5144005";"Остановка";"115,115А,189,327"
"ШОССЕ РЕВОЛЮЦИИ [22, 123, 136]<";"ШОССЕ РЕВОЛЮЦИИ";"Энергетиков пр., Революции ш.";"59,96122754";"30,4382496";"Остановка";"22,82,102,103,106,123,131,136,183"
"ШОССЕ РЕВОЛЮЦИИ [132]<";"ШОССЕ РЕВОЛЮЦИИ";"Металлистов пр., Революции ш.";"59,95901531";"30,4222565";"Остановка";"132"
"ШОССЕ РЕВОЛЮЦИИ,116 [153, 102, 103]<";"ШОССЕ РЕВОЛЮЦИИ,116";"Революции ш., ш. Революции";"59,96576096";"30,476181";"Остановка";"37,102,103,168"
"ШОССЕ РЕВОЛЮЦИИ,88 [153, 102, 103]<";"ШОССЕ РЕВОЛЮЦИИ,88";"Революции ш., Индустриальный пр.";"59,96262934";"30,4627705";"Остановка";"28,37,102,103,153"
"ШУВАЛОВКА,УЛ. МАКАРОВА [210, 359, 200]<";"ШУВАЛОВКА,УЛ. МАКАРОВА";"Санкт-Петербургское ш.";"59,86749061";"29,9772358";"Остановка";"200,210,359"
"ШУВАЛОВСКОЕ КЛАДБИЩЕ [435, 555]<";"ШУВАЛОВСКОЕ КЛАДБИЩЕ";"Выборгское ш., Петровская ул.";"60,05370103";"30,3090668";"Остановка";"75,109,109А,148,167,173,397,433,435,436,555,567"
"ШУНДОРОВО [482, 482в, 487, 487, 487а]<";"ШУНДОРОВО";"Таллинское ш.";"59,63780414";"29,6051788";"Остановка";"482,482В,487"
"ЭРЛЕРОВСКИЙ БУЛЬВАР [351]<";"ЭРЛЕРОВСКИЙ БУЛЬВАР";"Аврова ул.";"59,8702918";"29,9190254";"Остановка";"278,351,352,355,356Б,357А"
"ЭРЛЕРОВСКИЙ БУЛЬВАР ПО УЛ. АВРОВА [355]<";"ЭРЛЕРОВСКИЙ БУЛЬВАР ПО УЛ. АВРОВА";"улица Аврова, Эрлеровский бульвар";"59,87052836";"29,9193134";"Остановка";"344,356"
"ЭРЛЕРОВСКИЙ БУЛЬВАР,УГ. УЛ. АВРОВА [356Б, 356, 355]<";"ЭРЛЕРОВСКИЙ БУЛЬВАР,УГ. УЛ. АВРОВА";"Аврова ул.";"59,8702918";"29,9180603";"Остановка";"350,354"
"ЯКОРНАЯ УЛ. [123]<";"ЯКОРНАЯ УЛ.";"Энергетиков пр., Якорная ул.";"59,94350847";"30,4355412";"Остановка";"82,123"
"ЯКОРНАЯ УЛ. УГ. ПР. МЕТАЛЛИСТОВ [132]<";"ЯКОРНАЯ УЛ. УГ. ПР. МЕТАЛЛИСТОВ";"Якорная ул., Металлистов пр.";"59,94277638";"30,418911";"Остановка";"132"
"ЯХТЕННАЯ УЛ. [154, 172]<";"ЯХТЕННАЯ УЛ.";"Камышовая ул., Яхтенная ул.";"60,00847992";"30,2270775";"Остановка";"125,166,172"
"СОФИЙСКАЯ УЛ.";"СОФИЙСКАЯ УЛ.";"Славы пр., Софийская ул.";"59,8654813";"30,4135799";"Остановка";"5М,5МБ,11,56,76,141"
"СОФИЙСКАЯ УЛ. [116, 31]<";"СОФИЙСКАЯ УЛ.";"Белы Куна ул., Софийская ул.";"59,87743255";"30,3960228";"Остановка";"12,31,95,116"
"СОФИЙСКАЯ УЛ. 43 [12, 114]<";"СОФИЙСКАЯ УЛ. 43";"Софийская ул.";"59,87268479";"30,4047966";"Остановка";"12,91,114,117,141"
"СОФИЙСКАЯ УЛ. 55 [12, 114]<";"СОФИЙСКАЯ УЛ. 55";"Софийская ул.";"59,86926667";"30,409874";"Остановка";"12,91,114,117,141"
"СОФИЙСКАЯ УЛ. УГ. ПР. СЛАВЫ [12]<";"СОФИЙСКАЯ УЛ. УГ. ПР. СЛАВЫ";"Славы пр., Софийская ул.";"59,8661808";"30,4169846";"Остановка";"5М,5МБ,12,76,91,140"
"С-ПЕТЕРБУРГ ДОРОГА НА УСТЬ-ИЖОРУ";"С-ПЕТЕРБУРГ ДОРОГА НА УСТЬ-ИЖОРУ";"Советский пр., Шлиссельбургское ш.";"59,82285244";"30,5587215";"Остановка";"115,115А,189,327"
"С-ПЕТЕРБУРГ,ОКТЯБРЬСКАЯ УЛ. [482а]<";"С-ПЕТЕРБУРГ,ОКТЯБРЬСКАЯ УЛ.";"Таллинское ш.";"59,71695402";"30,047451";"Остановка";"481,482,482А,482В,484,484Б,547"
"САНКТ-ПЕТЕРБУРГСКОЕ ШОССЕ, 26КМ";"САНКТ-ПЕТЕРБУРГСКОЕ ШОССЕ, 26КМ";"Санкт-Петербургское ш.";"59,86434286";"29,9845448";"Остановка";"200,210,359"
"С-ПЕТЕРБУРГСКИЙ ПР.,УГ. РАЗВОДНОЙ УЛ. [355]<";"С-ПЕТЕРБУРГСКИЙ ПР.,УГ. РАЗВОДНОЙ УЛ.";"Санкт-Петербургский проспект, Разводная улица";"59,88062362";"29,9041386";"Остановка";"356Б"
"СПОРТИВНО-КОНЦЕРТНЫЙ КОМПЛЕКС [72]<";"СПОРТИВНО-КОНЦЕРТНЫЙ КОМПЛЕКС";"Космонавтов пр.";"59,86939352";"30,3453121";"Остановка";"72"
"СПОРТКОМПЛЕКС";"СПОРТКОМПЛЕКС";"Тверская ул.";"59,73830859";"30,6108627";"Остановка";"192,326,367,392,544"
"СРЕДНЕОХТИНСКИЙ ПР. [22, 106]<";"СРЕДНЕОХТИНСКИЙ ПР.";"Революции ш., Среднеохтинский пр.";"59,95917602";"30,4164238";"Остановка";"22,37,106,174"
"СРЕДНИЙ ПР. [7]<";"СРЕДНИЙ ПР.";"Гаванская ул., Средний пр.";"59,93214905";"30,2401199";"Остановка";"1"
"СРЕДНИЙ ПР.,УГ. ГАВАНСКОЙ УЛ. [6]<";"СРЕДНИЙ ПР.,УГ. ГАВАНСКОЙ УЛ.";"Гаванская ул., Средний пр.";"59,93214905";"30,2401199";"Остановка";"3М,3МА,6,7,7А"
""СТ. МЕТРО "АВТОВО"";""СТ. МЕТРО "АВТОВО"";"Кронштадтская улица, дорога на Турухтанные Острова";"59,86883123";"30,257391";"Остановка";"66"
""СТ. МЕТРО "АКАДЕМИЧЕСКАЯ" [40, 93, 178]<"";""СТ. МЕТРО "АКАДЕМИЧЕСКАЯ"";"Гражданский пр., Науки пр.";"60,01283959";"30,3973675";"Остановка";"40,60,61"
""СТ. МЕТРО "АКАДЕМИЧЕСКАЯ" "";""СТ. МЕТРО "АКАДЕМИЧЕСКАЯ"";"Науки пр., Гражданский пр.";"60,01269963";"30,3986244";"Остановка";"102,103,153,176,177,178"
""СТ. МЕТРО "ВАСИЛЕОСТРОВСКАЯ"";""СТ. МЕТРО "ВАСИЛЕОСТРОВСКАЯ"";"Средний проспект, 4-5-я линии";"59,94349478";"30,2802105";"КП";"1,3М,3МА,6,24,24А,128"
""СТ. МЕТРО "ГОРЬКОВСКАЯ" [46А]<"";""СТ. МЕТРО "ГОРЬКОВСКАЯ"";"Каменноостровский пр., Кронверкский пр.";"59,95553426";"30,3216171";"Остановка";"2М,2МБ,46,46А"
""СТ. МЕТРО "ГОСТИНЫЙ ДВОР" [3, 7, 22, 24, 27]<"";""СТ. МЕТРО "ГОСТИНЫЙ ДВОР"";"Невский пр., пл. Островского";"59,93389427";"30,3387852";"Остановка";"3,3М,3МБ,7,7А,22,24,24А,27,135,135А,191,191А"
""СТ. МЕТРО "ГРАЖДАНСКИЙ ПР."";""СТ. МЕТРО "ГРАЖДАНСКИЙ ПР."";"Просвещения пр., Гражданский пр.";"60,0357244";"30,4179745";"Остановка";"1М,121,139"
""СТ. МЕТРО "ЕЛИЗАРОВСКАЯ"";""СТ. МЕТРО "ЕЛИЗАРОВСКАЯ"";"Бабушкина ул., Елизарова пр.";"59,89580016";"30,4240875";"Остановка";"3М,3МБ,116"
""СТ. МЕТРО "ЗВЕЗДНАЯ" "";""СТ. МЕТРО "ЗВЕЗДНАЯ"";"Ленсовета ул., Звездная ул.";"59,83249194";"30,3494129";"Остановка";"2М,2МА,34,50,64,64А,116,179,186,190,192,197"
