Наименование остановки;Официальное наименование;Расположение;Широта;Долгота;Тип объекта;Маршруты
"УЛ. КОТИНА ПО УЛ. МАРШАЛА КАЗАКОВА";"УЛ. КОТИНА ПО УЛ. МАРШАЛА КАЗАКОВА";"Маршала Казакова ул., Котина ул.";"59,86028257";"30,2123375";"Остановка";"26,3"
"4 КМ, КЛУБ [75]";"4 КМ, КЛУБ";"Горское шоссе";"60,09329282";"30,192131";"Остановка";"75,84,84А,84-ШК"
"ПОС. ЛЕВАШОВО, УЛ. КАРПОВА [75]<";"ПОС. ЛЕВАШОВО, УЛ. КАРПОВА";"пр. Володарского";"60,09824399";"30,2050323";"Остановка";"75,84,84А,84-ШК"
"УШКОВСКАЯ УЛ.";"УШКОВСКАЯ УЛ.";"Большая Озёрная улица, Ушковская улица";"60,03377643";"30,3124924";"Остановка";"38"
"ГОСТИЛИЦКОЕ ШОССЕ, 5 КМ (тест)";"ГОСТИЛИЦКОЕ ШОССЕ, 5 КМ";"Гостилицкое ш.";"59,86539557";"29,8142605";"Остановка";"344,463,463А,489,682,683,683А,684,685А,686,687"
"ДЕР. ЛОПУХИНКА, МАГАЗИН (тест)";"ДЕР. ЛОПУХИНКА, МАГАЗИН";"";"59,72991231";"29,4075127";"Остановка";"463,684,685А,686"
"КРАСНАЯ УЛ. (ТЕСТ) <";"КРАСНАЯ УЛ.";"Сельская улица, Красная улица";"60,12756115";"30,1536865";"Остановка";"315"
"ДОРОГА НА БЕЛЬВЕДЕР";"ДОРОГА НА БЕЛЬВЕДЕР";"Бабигонское ш.";"59,84512411";"29,8765697";"Остановка";"360"
"УЛ. МАРШАЛА ЗАХАРОВА, 14";"УЛ. МАРШАЛА ЗАХАРОВА, 14";"";"59,85799501";"30,1639938";"Остановка";"2А,83,142"
"ВИТЕБСКИЙ ПР.";"";"ул. Благодатная, Витебский проспект";"59,87770677";"30,3459187";"Остановка";"12,29,95,159"
"ЗАВОД СОКОЛ";"ЗАВОД СОКОЛ";"";"59,69075695";"30,808651";"Остановка";"438,438З,540"
